ID,Tipo,TextUser,Timer,Txtime
7,S/I,"Soy muy pasiente cuando estoy en el trabajo, siempre pienso las cosas muy bien antes de actuar.",14:16,1:51
11,C/S,"Siempre evito cometer errores en el trabajo, me gusta tener todo bajo control y si no sé algo lo investigo hasta estar seguro soy muy decisivo.",8:31,3:10
6,S/D,"En el trabajo soy muy tranquilo, me gusta tratar bien a todos mis compañeros. No me gusta que haya cambios repentinos porque soy muy rutinario.",8:32,2:34
5,I/C,Creo que mi mayor cualiadad es que soy muy sociable y le caigo bien a la gente y mi debilidad es que soy muy confiado siempre creo que tendre éxito en lo que haré sin importar lo que sea.,9:27,2:0
9,C/D,"Soy muy responsable en mi trabajo, me gusta trabajar lo mejor que se pueda pero soy muy reservada.",18:59,2:3
2,D/C,"Aunque hay problemas en el trabajo siempre mantengo la calma y busco una forma de resolver el problema, pero me en veces suelo dar por su lado a mis superiores.",6:51,2:27
6,S/D,"Mis fortalezas son que me agrada trabajar en equipo. Ademas, soy respetuoso, amable, alegre y servicial. Sin embargo, mis debilidades son la inseguridad y ser pasalon. ",10:58,2:34
1,D/S,"Mi gran ventaja es que me gusta mucho trabajar en equipo y ser responsable con mis actividades, pero mi debilidad es que soy muy parlanchin y soy poco distraído.",6:1,1:54
12,DC/IS,"Siempre trato de hacer que mi trabajo sea el mejor, reviso cada detalle pero esto hace que me tomé tiempo para hacerlo.",10:28,0:58
5,I/C,"Mi mayor fortaleza es que me gano la confianza de los demás, soy muy confiado para enfrentar los retos que se me presenten. Y mi debilidad es que me opongo cuando otros tienen un punto de vista diferente al mío.",10:34,1:21
9,C/D,"Me adapto facilmente a los cambios que puedan surgir en el trabajo, perfiero evitar conflictos con mi jefe o compañeros.",7:45,3:16
0,D/I,Me gusta mucho ser responsable con mi trabajo y respetar las reglas que se me indiquen. Ser comprometido y respetuoso,6:28,0:43
2,D/C,No tengo problemas en realizar nuevas actividades aunque al principio podrían salirme mal por la falta de experiencia ,5:35,1:48
5,I/C,Me gusta mucho mi responsabilidad en mi trabajo y debilidad es tener muchos amigos y platicar con ellos mucho ,9:30,1:4
6,S/D,"Me gusta mi trabajo, mi debilidad es distraerme mucho y estar platicando",6:19,1:3
6,S/D,"Género mucha confianza y optimismo, siempre me mantengo positivo y encuentro una forma de encontrar una solución óptima, no suelo ser perfeccionista, pero si existe una oportunidad de demostrar eso, hago mi más grande esfuerzo
Cómo debilidad es que me creo mucho lo que dicen de mi o en general y siempre se genera un conflicto por eso
En ciertas ocasiones no soy empatico",7:15,2:49
4,I/S,Soy Muy Tolerable Cuando Se Necesita Pero Cuando Algo No Me gusta Y Algo Está Mal Se Los Comento No Me Quedó Callado,6:35,1:29
5,I/C,"Me gusta mi trabajo, dentro de el área laboral soy muy sociable por conveniencia; para poder tener armonía dentro del área, pero no me gusta mantener esa misma cercania fuera de él... No me gusta que me repitan las cosas así que hago mi trabajo sin que me molesten o tendré varias discusionesm",10:33,2:4
13,IS/DC,"Comprometido , afectivo y  debilidades pereza o falta de satisfacción ",8:56,0:44
0,D/I,"Mi capacidad de análisis, siempre busco encontrar la solución más óptima para cualquier situación.
Alguna debilidad creo seria qué aveces presto mucha atención a la gente negativa",6:59,2:7
0,D/I,"Mis fortalezas principales, es el buen manejo del liderazgo, trabajar en equipo, amable, gentil y algunas de mis debilidades principales serian el mal manejo de grupos, la mala coordinacion , el mal manejo de informacion como tal.",3:39,9:14
