ID,Tipo,TextUser
0,D/I,"Tiende a ser lógico, crítico e incisivo en sus enfoques hacia la obtención de metas. Se sentirá retado por problemas que requieren esfuerzos de análisis y originalidad. Será llano y crítico con la gente."
1,D/S,"Responde rápidamente a los retos, demuestra movilidad y flexibilidad en sus enfoques, tiende a ser iniciador y versátil respondiendo rápidamente a la competencia."
2,D/C,"Actúa de una manera directa y positiva ante la oposición. Es una persona fuerte que toma una posición y lucha por mantenerla. Está dispuesto a tomar riesgos y puede aún ignorar niveles jerárquicos."
3,I/D,"Tiende a comportarse en una forma equilibrada y cordial, desplegando “agresividad social” en situaciones que percibe como favorables y sin amenazas. Tiende a mostrarse simpático y lucha por establecer relaciones armoniosas con la gente desde el primer contacto con ellos."
4,I/S,"Tiende a buscar a la gente con entusiasmo y chispa. Es una persona abierta que despliega un optimismo contagioso o trata de ganarse a la gente a través de la persuasión y de un acercamiento emotivo."
5,I/C,"Despliega confianza en si mismo en la mayoría de sus tratos con otras personas. Aunque siempre lucha por ganarse a la gente, se muestra reacio a ceder su propio punto de vista. Esta persona siente que no importa que situación se presente, el será capaz de actuar en forma exitosa."
6,S/D,"Tiende a ser constante y consistente, prefiriendo tratar un proyecto o tarea a la vez. En general, esta persona dirigirá sus habilidades y experiencias hacia áreas que requieren profundidad y especialización. Ecuánime bajo las presiones, busca estabilizar su ambiente y reacciona negativamente a los cambios en el mismo."
7,S/I,"Tiende a ser un individuo controlado y paciente. Se mueve con moderación y premeditación en la mayoría de las situaciones con cuidado y concentración."
8,S/C,"Tiende a ser un individuo persistente y perseverante que una vez que decide algo, no fácilmente se desvía de su objetivo. Tenderá a tomar un ritmo de trabajo y apegarse a él. Puede ser rígido e independiente cuando se aplica la fuerza para hacerle cambiar exasperando a otros que requieran de su adaptación."
9,C/D,"Tiende a actuar de una forma cuidadosa y conservadora, en general está dispuesto a modificar o transigir en su posición con el objetivo de lograr sus objetivos. Siendo un estricto observador de las políticas, puede parecer arbitrario y poco flexible al seguir una regla o fórmula establecida. Prefiere una atmósfera libre de antagonismo y desea la armonía."
10,C/I,"Esta persona tiende a ser un seguidor apegado del orden y los sistemas. Toma decisiones basadas en hechos y procedimientos conocidos. En todas sus actividades trata meticulosamente de apegarse a los estándares establecidos, ya sea por sí mismo o por los demás."
11,C/S,"Esta persona estará muy consiente de evitar riesgos o problemas. Tiende a buscar significados ocultos. La tensión puede ser evidente, particularmente si está bajo presión por obtener resultados. En general, se sentirá intranquilo mientras que no tenga una confirmación absoluta en su decisión ha sido la correcta."
12,DC/IS,"Ya que este individuo busca igualdad entre la fuerza para obtener resultados y la calidad de los mismos, es visto con frecuencia como un perfeccionista. No busca “una respuesta” a los problemas sino que desean alcanzar “la mejor respuesta”. Podría sin embargo indicar, que el individuo tiene dificultad en tomar la mayoría de sus decisiones. Los signos extremos de esta situación son la tención y la vacilación."
13,IS/DC,"Esta persona tiende a resistirse a las peticiones de adaptabilidad hechas por los demás, prefiere operar solo, pero no luchará por su independencia. Se mostrará, en repetidas ocasiones, reacio a seguir sugerencias de otros, aunque puede no tener ninguna otra idea que proponer."
