ID,Tipo,Nombre,TextDISC,D,I,S,C
0,D/I,Eficiencia,"Un individuo Eficiente es directo y asertivo, pero tiene poco o ningún interés en asuntos personales. Toman una visión objetiva y analítica y conducen hacia sus objetivos sin piedad e implacables. Necesitan ver resultados y están dispuestos a comprometer la calidad o los detalles para obtenerlos.",8,1,3,4
1,D/S,Auto-motivación,"Este tipo de persona siente la necesidad de estar activo todo el tiempo, y es impaciente con aquellos que no quieren o no pueden mantener su ritmo urgente. Reaccionan rápidamente a los nuevos desarrollos, pero nunca pierden de vista sus propios objetivos y ambiciones.",8,3,1,3
2,D/C,Independencia,"Este tipo de persona se siente frustrada por las reglas y regulaciones. Prefieren seguir sus propias ideas y, a menudo, trabajan solos o en posiciones de autoridad aislada. Este subtítulo es común, por ejemplo, en los estilos emprendedores.",8,4,3,1
3,I/D,Amabilidad,"La gente amable ama hablar: la comunicación es el elemento más fuerte de este estilo. Son sociables y extrovertidos, pero les resulta muy difícil concentrarse en tareas mundanas, y se distraen fácilmente de ese trabajo por la oportunidad de interacción social.",1,8,4,3
4,I/S,Entusiasmo,"Este es un subtítulo extrovertido y extrovertido que tiene mucho en común con la amabilidad, pero con la dimensión adicional de energía y ritmo. Este estilo animado muestra su interés en un tema muy fuertemente, y su naturaleza efusiva puede actuar como un factor de motivación para los demás.",3,8,1,3
5,I/C,Auto-confianza,"Los perfiles seguros de sí mismos representan personas que rara vez experimentan dudas y se sienten a gusto en casi cualquier situación social. Se mezclan fácilmente con extraños y no tienen miedo de iniciar el contacto social. A veces pueden volverse demasiado confiados, lo que los lleva a actuar impulsivamente",3,8,4,1
6,S/D,Paciencia,"Este estilo de persona tiene poco sentido de urgencia y un ritmo lento, lo que significa que pueden trabajar en situaciones que otros encontrarían repetitivas o aburridas. Son sumisos en estilo y listos para aceptar que hay algunas cosas que no pueden cambiar.",1,3,8,4
7,S/I,Consideración,"Las personas reflexivas planifican sus palabras y acciones cuidadosamente y nunca actúan impulsivamente. Los plazos y otras limitaciones de tiempo son difíciles de tratar para este tipo de persona. Su ventaja, sin embargo, es la fiabilidad y estabilidad que aportan a su trabajo.",3,1,8,4
8,S/C,Persistencia,"Las personas persistentes lidian mal con el cambio. Una vez que se establecen dentro de un status quo, les resulta difícil salir de esto y adaptarse a una nueva situación. Harán lo que puedan para mantener su estado actual de cosas, mostrando gran lealtad y resistencia en defensa de su entorno actual y su círculo social.",3,4,8,1
9,C/D,Cooperación,"Este es la sub-característica clásica 'orientada a las reglas', que describe a una persona que necesita estar absolutamente segura de su posición y prefiere usar las regulaciones y los procedimientos establecidos como un marco para respaldar sus ideas. Este aspecto de su estilo personal se extiende a la necesidad de apoyo práctico de los gerentes, colegas y amigos, y por eso buscan mantener relaciones laborales positivas con los demás",1,3,4,8
10,C/I,Precisión,"Este sub-caracteristica también se denomina a veces Precaución. El tipo de persona a quien se refiere odia cometer errores: revisan y vuelven a verificar su trabajo, y son propensos a corregir los errores de los demás, tanto si se les ha pedido como si no. Esta necesidad de certeza significa que nunca se arriesgarán a menos que sea absolutamente necesario. También son cautelosos en la comunicación, rara vez revelan más sobre sí mismos que un mínimo.",3,1,3,8
11,C/S,Sensibilidad,"Las personas de este tipo son muy conscientes de su entorno y de los cambios que tienen lugar dentro de él, en la medida en que a menudo notan puntos sutiles que otras personas pasan por alto o ignoran. En sí mismo, este es un factor positivo, pero tiene la consecuencia de que tienen un umbral de aburrimiento muy bajo y pueden distraerse fácilmente.",3,4,1,8

