ID,Tipo,TextUser,Timer,Txtimer
10,C/I,"Mis puntos fuertes son mis habilidades sociales; Puedo conectarme fácilmente con casi cualquier persona y puedo comprender, aprender y hacer un seguimiento de las cosas. Mis debilidades son que, dudo en pedir ayuda, pensar demasiado, tener sentimientos encontrados y postergar.",0:0,0:0
10,C/I,"Fuerza: Mi fortaleza sería que, soy un auto-motivado y de rápido aprendizaje. Cada vez que me pongo a hacer cualquier trabajo, lo completo antes de retrasarme y siempre hago lo mejor que puedo poniendo todos mis esfuerzos. Me considero una persona enfocada. Me esfuerzo por encontrar una solución optimista en tiempos difíciles. Llegando a mi debilidad, me pongo nervioso mientras hablo con gente nueva y he estado trabajando en esto durante bastante tiempo y puedo decir con la mayor confianza que he recorrido un largo camino.",0:0,0:0
10,C/I,"Fortalezas: Persona de aprendizaje rápido y automotivada. Debilidad:I Siempre necesito la perfección en mi trabajo, así que me tomaré un poco más de tiempo para hacer mi trabajo más tarde me di cuenta ahora que trato de superarlo.",0:0,0:0
10,C/I,"Fuerza: mi mayor fortaleza es manejar cualquier situación crítica de manera fría y fácil. Debilidad: mi debilidad es pensar demasiado.",0:0,0:0
10,C/I,"Fuerza: mi fortaleza sería que, soy un auto-motivado y de rápido aprendizaje. Cada vez que me pongo a hacer cualquier trabajo, lo completo antes de retrasarme, siempre hago lo mejor que puedo poniendo todos mis esfuerzos. Me considero a mí mismo como una persona enfocada. Me esfuerzo por encontrar soluciones optimistas en tiempos difíciles. Llegar a mi debilidad sería que, me pongo nervioso mientras hablo con gente nueva y he estado trabajando en esto durante bastante tiempo y puedo decir con la mayor confianza que he recorrido un largo camino",0:0,0:0
13,IS/DC,"En primer lugar, hablando de mis fortalezas, soy un oyente entusiasta, puedo socializar fácilmente con otros y adaptarme fácilmente en la mayoría de las situaciones, siempre trato de mejorar mis habilidades cada vez que tengo la oportunidad, siempre enfocado en aprender cosas nuevas y una persona de buen corazón que cree en ayudar a los demás. Tengo algunas debilidades también como a la larga a veces me siento desmotivado y para superar esto prefiero hablar con mi madre y escuchar buena música y también hablo un poco rápido, así que para eso estoy practicando en ella a diario y tratando de conquistarla. Gracias.",0:0,0:0
10,C/I,"Señor, mi fortaleza es que me gusta aprender cosas nuevas, soy automotivado, dedicado y puntual, siempre trabajo con un equipo y tengo habilidades de liderazgo. Debilidad: Siempre veo mi fuerza porque siempre estoy ocupado en mi dedicación.",0:0,0:0
10,C/I,"Mi debilidad :- A veces, me resulta difícil administrar el tiempo y reducir demasiado cerca de la fecha límite. Para superar esto, he empezado a publicar que lo pego en mi portátil, incluso organizo mi calendario para incluir mi objetivo diario y mi tarea semanal y a largo plazo para priorizar mejor mi tarea.",0:0,0:0
2,D/C,Mis puntos fuertes son que mantengo buenas relaciones con las personas y soy fácilmente adoptable en cualquier situación y aprendo de mis errores. Mis debilidades son que soy una persona demasiado excitada y siempre me quieren ser perfecta.,0:0,0:0
4,I/S,"Fuerza: Mi fuerza es que puedo manejar mi presión en cualquier tipo de situación. Debilidad: Mi debilidad es cada vez que me siento desmotivado. Entonces, puedo hacer más trabajo.",0:0,0:0
5,I/C,"Fuerza: Mi fortaleza es que soy un rápido conocedor de la tecnología y tengo una buena fuerza para poder manejar mis proyectos por mi cuenta y también con grandes equipos. Debilidad: Se vuelve demasiado confiado y sobreexcitado cuando resuelvo algunos problemas pequeños y eso me da mi debilidad porque necesitamos trabajar en otras depuraciones pequeñas y grandes, por lo que no debemos emocionarnos para que la próxima vez que no sepamos cómo resolver ese problema, te decepciones y cuando te haga un aprendiz débil. Gracias.",0:0,0:0
10,C/I,Mi fuerza es aprender rápido y completar nuestras tareas a tiempo. Weakness está emocionado de aceptar las asignaciones de tareas excesivas.,0:0,0:0
10,C/I,"Fortalezas - Pensador práctico, jugador de equipo, solucionador de problemas. Debilidad - A veces pensar demasiado en los resultados finales. Miedo al fracaso.",0:0,0:0
10,C/I,"Fuerza: Mi fuerza siempre está tratando de mejorar mis habilidades cada vez que tengo la oportunidad. Soy un aprendiz disciplinado y rápido. Soy flexible con respecto a las personas, el tiempo y el lugar de trabajo. Debilidad: A veces pienso demasiado.",0:0,0:0
2,D/C,Fuerza: Soy disciplinado y de rápido aprendizaje. Debilidad: Sobreexcitado.,0:0,0:0
12,DC/IS,"Mi fuerza: Soy disciplinado para llevar a cabo los deberes que se me dan, y me concentré intensamente en la tarea a realizar. Soy una persona Flexible / Colaborativa siempre pienso de manera positiva para mejores resultados y Liderazgo. Mi voluntad de ayudar y apoyar a otros en el trabajo es un papel de buen jugador de equipo y ser digno de confianza. Mis debilidades son que estoy nervioso cuando mi Dáa 1 comienza en el trabajo y me resulta difícil hacer preguntas, me di cuenta de que hay mucho talento en mi equipo y puedo pedir orientación cuando aseguro mi acción.",0:0,0:0
7,S/I,"Mis fortalezas son que soy un aprendiz rápido, y me tomo un tiempo para aprender cosas de manera consistente. Por otro lado, mis debilidades son. Si la fecha límite esté un poco lejos, mientras tanto trato de ir detrás de la perfección a veces, también a veces dudo en pedir ayuda.",0:0,0:0
4,I/S,"Mi fortaleza es que puedo realizar múltiples tareas diferentes cosas que una vez que se me asignaron. Mi debilidad es que, soy emocional, especialmente cuando no estoy de acuerdo con mis compañeros de trabajo.",0:0,0:0
11,C/S,Mi fortaleza es que me gusta aprender cosas nuevas y me esté ayudando a una mejor versión de mí mismo. Llegando a mi debilidad es que soy Enfoque sólo una cosa a la vez.,0:0,0:0
2,D/C,"Fortalezas: Siempre pienso de manera positiva, por eso soy una persona automotivada y trabajadora. Mis amigos y familiares también son mi mayor fortaleza, siempre me representan en cualquier situación. Debilidad: Demasiado emocional y confía en todos.",0:0,0:0
10,C/I,Fortalezas:I Soy un buen aprendiz. Debilidades: No se adaptó al clima.,0:0,0:0
10,C/I,Fortalezas: Creo que soy un buen solucionador de problemas y puedo entrar en cualquier problema. Debilidad: Me distraigo.,0:0,0:0
10,C/I,"Mi fuerza son mis amigos y dan más discursos motivacionales. Mi debilidad es que cuando no termino mi trabajo, entonces me tenso y bebo alcohólico.",0:0,0:0
7,S/I,Mi fortaleza es que aprendo rápido. Me gusta aprender cosas nuevas es ayudar a una mejor versión para mí. Considero que mi debilidad es la falta de habilidades de comunicación y hablar en público. Definitivamente superaré mi debilidad.,0:0,0:0
8,S/C,"Mi fuerza Soy un gran trabajador y me gustan las cosas, desafiar y arreglar cosas. Mi debilidad es que soy analfabeto.",0:0,0:0
10,C/I,"Mi fortaleza es mi familia, especialmente mis padres que sacrifican todo por nuestro futuro mejor. Entonces mi fuerza es mi honestidad y trabajo. Mi debilidad es que soy muy sensible. Confío en todos muy rápido. Debido a esto, me he enfrentado a muchos problemas. Mi mayor debilidad es la falta de confianza porque pierdo mi fe frente a los demás.",0:0,0:0
10,C/I,"Fuerza: mi fuerza es mi madre. Estoy orgulloso de decir eso, no soy nada sin mi madre. Ella siempre me motiva. Debilidad: mi mayor debilidad es que siempre lloro por cosas pequeñas.",0:0,0:0
5,I/C,"Mi fuerza es nuestro Dios, entonces estoy orgulloso de decir que soy yo no soy nada sin God.My debilidades es perder la confianza en mí mismo y soy una persona tan pensante que odio ser esto.",0:0,0:0
10,C/I,"Mis puntos fuertes son que soy el tipo de persona que escucha activamente la opinión de otra persona antes de hablar y tengo el entusiasmo de aprender cosas nuevas. Llegando a mis debilidades, soy una persona workalocholic, a veces me ponía tenso cuando no podía completar el trabajo.",0:0,0:0
5,I/C,Fuerza: Mi mayor fortaleza es manejar cualquier situación crítica de manera fresca y fácil. Debilidad: Pensar demasiado es mi única debilidad.,0:0,0:0
10,C/I,"Mis puntos fuertes son que soy una persona muy trabajadora. Me dediqué totalmente a mi trabajo. Y señor, soy un tipo de persona muy optimista. Y creo que incluso una situación negativa se puede manejar fácilmente con un enfoque positivo. Mi debilidad es que soy un tipo de persona adicta al trabajo. Pero a veces afecta mi salud. Y en segundo lugar, soy una persona orientada a los detalles. Mientras le explico algo a alguien, lleva mucho tiempo. Pero siempre trato de reducir algunos detalles innecesarios. Entonces, estas son mis fortalezas y debilidades.",0:0,0:0
10,C/I,"Fortaleza: Mi mayor fortaleza sería mi dedicación hacia mi trabajo y adaptación a la naturaleza y buen aprendizaje. Además, puedo conectarme con la gente fácilmente. Debilidad: Me siento incómodo cuando tengo alguna tarea pendiente que me gusta completarla a tiempo.",0:0,0:0
4,I/S,"Fuerza: Mi mayor fortaleza son mis padres, entonces estoy siendo una persona versátil. Puedo mezclarme fácilmente con cualquiera, sea cual sea la situación, lo adoptaré y pasaré a eso. Debilidad: No tengo ninguna debilidad en mí, básicamente soy una persona con los pies en la tierra.",0:0,0:0
10,C/I,"Fuerza: Mi fortaleza es que cualquier trabajo que hago, lo hago con todo corazón e interés y considero esto como mi mayor fortaleza. Debilidad: Mi debilidad es que no puedo reconocer a las personas rápidamente cuando estoy con ellas, paso algén tiempo después de eso descubro que la persona es así.",0:0,0:0
12,DC/IS,Mi fuerza es el trabajo duro y automotivado y mis padres. Mi debilidad es confiar en todos fácilmente.,0:0,0:0
5,I/C,Mis fortalezasSoy una persona de pensamiento positivo. Creo que también soy una persona honesta. Soy una persona motivada y aprendo rápido. Mi debilidadSoy una persona introvertida. Soy una persona muy emocional. Confío en todos fácilmente.,0:0,0:0
10,C/I,Fuerza: I Tener buenas habilidades de liderazgo. Estoy ansioso por aprender cosas nuevas. Debilidad:I me siento incómodo hasta que termino mi trabajo dentro de un tiempo determinado. Soy demasiado sensible y las cosas pequeñas pueden hacerme daño.,0:0,0:0
