ID,Tipo,TextUser,Timer,Txtime
7,S/I,"Soy muy paciente cuando estoy en el trabajo, siempre pienso las cosas muy bien antes de actuar.",14:16,1:51
10,C/I,"Siempre evito cometer errores en el trabajo, me gusta tener todo bajo control y si no sé algo lo investigo hasta estar seguro soy muy decisivo.",8:31,3:10
3,I/D,"Soy una persona con mucha facilidad de palabra, comprensivo. Como desventaja es que suelo tener problemas de concentración en ciertas tareas y eso hace que pierda tiempo",9:13,2:14
6,S/D,"En el trabajo soy muy tranquilo, me gusta tratar bien a todos mis compañeros. No me gusta que haya cambios repentinos porque soy muy rutinario.",8:32,2:34
8,S/C,"Lucho siempre por lograr las metas en el trabajo, soy muy cumplido. Pero suelo sufrir para adaptarme cuando tengo que hacer nuevas actividades",8:32,3:34
3,I/D,"Ser sociables mi mayor fortaleza, trato a la gente de manera amable y comprensible, aunque a veces soy muy desesperada cuando no comprendo algo y suelo ser desconfiada",5:4,0:49
5,I/C,"Creo que mi mayor cualidad es que soy muy sociable y le caigo bien a la gente y mi debilidad es que soy muy confiado siempre creo que tendrá éxito en lo que haré sin importar lo que sea.",9:27,2:0
10,C/I,"Soy muy responsable en mi trabajo, me gusta trabajar lo mejor que se pueda, pero soy muy reservada.",18:59,2:3
1,D/S,"Me gusta trabajar en equipo y que todos cooperen",9:20,1:17
2,D/C,"Aunque hay problemas en el trabajo siempre mantengo la calma y busco una forma de resolver el problema, pero me en veces suelo dar por su lado a mis superiores.",6:51,2:27
6,S/D,"Mis fortalezas son que me agrada trabajar en equipo. Además, soy respetuoso, amable, alegre y servicial. Sin embargo, mis debilidades son la inseguridad y ser demasiado flexible. ",10:58,2:34
3,I/D,"Mi gran ventaja es que me gusta mucho trabajar en equipo y ser responsable con mis actividades, pero mi debilidad es que soy muy parlanchín y soy poco distraído.",6:1,1:54
3,I/D,"Mi fortaleza. Suelo ser parlanchín con todo el mundo, aunque a veces eso me haga que pierda tiempo y no pueda concentrarme con facilidad, siendo también mi debilidad",6:11,3:03
10,C/I,"Siempre trato de hacer que mi trabajo sea el mejor, reviso cada detalle, pero esto hace que me tomé tiempo para hacerlo.",10:28,0:58
5,I/C,"Mi mayor fortaleza es que me gano la confianza de los demás, soy muy confiado para enfrentar los retos que se me presenten. Y mi debilidad es que me opongo cuando otros tienen un punto de vista diferente al mío",10:34,1:21
8,S/C,"Soy muy leal, perseverante en todo sentido de la palabra, me cuesta adaptarme a los cambios",7:42,3:43
9,C/D,"Me adapto fácilmente a los cambios que puedan surgir en el trabajo, prefiero evitar conflictos con mi jefe o compañeros.",7:45,3:16
9,C/D,"Me gusta mucho ser responsable con mi trabajo y respetar las reglas que se me indiquen. Ser comprometido y respetuoso",6:28,0:43
1,D/S,"No tengo problemas en realizar nuevas actividades, aunque al principio podrían salirme mal por la falta de experiencia",5:35,1:48
5,I/C,"Me gusta mucho mi responsabilidad en mi trabajo y debilidad es tener muchos amigos y platicar con ellos mucho",9:30,1:4
5,I/C,"Me gusta mi trabajo, mi debilidad es distraerme mucho y estar platicando",6:19,1:3
13,IS/DC,"Género mucha confianza y optimismo, siempre me mantengo positivo y encuentro una forma de encontrar una solución óptima, no suelo ser perfeccionista, pero si existe una oportunidad de demostrar eso, hago mi más grande esfuerzo. Como debilidad es que me creo mucho lo que dicen de mi o en general y siempre se genera un conflicto, por eso en ciertas ocasiones no soy empatico",7:15,2:49
3,I/D,"Soy una persona con mucha facilidad de palabra, comprensivo. Como desventaja es que suelo tener problemas de concentración en ciertas tareas y eso hace que pierda tiempo",9:13,2:14
1,D/S,"Soy muy trabajador y perfeccionista, no me gusta desviar mis objetivos. Soy muy rutinario y me acostumbro a un solo ritmo de trabajo.",10:53,1:28
12,DC/IS,"Soy muy tolerable cuando se necesita, pero cuando algo no me gusta y algo está mal se los comento no me quedo callado",6:35,1:29
7,C/D,"Limpio, ordenado, empático, consiente, carácter débil, impaciente ",7:45,1:53
10,C/I,"Me gusta ser exacto preciso y soy muy poco tolerante",5:56,0:50
8,S/C,"Trato de hacer las cosas lo mejor que puedo, aunque algunas veces lo hago mal por cansancio",6:59,1:30
7,C/D,"Me gusta mi trabajo, dentro del área laboral soy muy sociable por conveniencia; para poder tener armonía dentro del área, pero no me gusta mantener esa misma cercanía fuera de él... No me gusta que me repitan las cosas así que hago mi trabajo sin que me molesten o tendré varias discusiones",10:33,2:40
11,C/S,"Comprometido , afectivo y debilidades pereza o falta de satisfacción ",8:56,0:44
7,S/I,"Mi capacidad de análisis es mi fortaleza, siempre busco encontrar la solución óptima para cualquier situación. Alguna debilidad creo seria qué a veces presto mucha atención a la gente negativa",6:59,2:07
12,DC/IS,"Adaptable, desconfiado",7:46,0:11
7,C/D,"Trato de siempre cumplir las metas del trabajo, me gusta ser reconocida, me centro en mis obligaciones y por otra parte siento que deben decirme qué hacer, porque suelo ser dependiente",6:5,2:55
5,I/C,Soy seguro de mí mismo y soy muy confiado,10:32,2:26
7,C/D,"Trabajo en equipo, responsable, disciplinado, creativo, meticuloso, constante, confiado, nervioso",11:19,1:38
13,IS/DC,"Género mucha confianza, y optimismo ",5:13,0:46
2,D/C,"Soy muy perfeccionista y trato de no cometer errores, y mi punto débil es creerle a la gente",18:53,1:9
13,IS/DC,"Mis fortalezas principales, es el buen manejo del liderazgo, trabajar en equipo, amable, gentil y algunas de mis debilidades principales serian el mal manejo de grupos, la mala coordinación , el mal manejo de información como tal.",3:39,9:14
4,I/S,"Fortaleza. Soy sociable, comprensible Debilidad. No soy paciente",8:35,1:50
1,D/S,"Fortalezas; eficiente, nunca pierdo mis objetivos y debilidad; falta de concentración",5:13,0:57
0,D/I,"Me gusta hacer las cosas bien, en tiempo y forma. No me gustan los problemas",7:28,1:10
3,I/D,"Fortalezas: soy muy sociable, tiendo a ser muy equilibrada, mi debilidad es que soy desesperada cuando no entiendo algo.",14:35,4:50
0,D/I,"Soy muy persuasivo y confío mucho en la gente",4:42,1:36
0,D/I,"Trabajo de equipo y me frustra si no hay cooperación",10:0,0:53
6,S/D,"Mi fortaleza es ser paciente, respetuosa y amable con los demás. Mis debilidades el miedo a expresar lo que opino cuando no estoy de acuerdo en algo.",9:53,2:47
12,DC/IS,"Alguna de mis fortalezas es la responsabilidad en mi trabajo, trato de resolver lo que se presenta sin la necesidad de que me lo tengan que decir.",12:25,2:31
