ID,Tipo,TextUser,Timer,Txtime
7,S/I,"Soy muy pasiente cuando estoy en el trabajo, siempre pienso las cosas muy bien antes de actuar.",14:16,1:51
11,C/S,"Siempre evito cometer errores en el trabajo, me gusta tener todo bajo control y si no sé algo lo investigo hasta estar seguro soy muy decisivo.",8:31,3:10
3,I/D,"Soy una persona con mucha facilidad de palabra, comprensivo. Como desventaja es que suelo tener problemas de concentración en ciertas tareas y eso hace que pierda tiempo",9:13,2:14
6,S/D,"En el trabajo soy muy tranquilo, me gusta tratar bien a todos mis compañeros. No me gusta que haya cambios repentinos porque soy muy rutinario.",8:32,2:34
8,S/C,"Lucho siempre por lograr las metas en el trabajo, soy muy cumplido. Pero suelo sufrir para daptarme cuando tengo que hacer nuevas actividades",8:32,3:34
3,I/D,"Ser sociables mi mayor fortaleza, trato a la gente de manera amable y comprensible, aunque a veces soy muy desesperada cuando no comprendo algo y suelo ser desconfiada",5:4,0:49
5,I/C,Creo que mi mayor cualiadad es que soy muy sociable y le caigo bien a la gente y mi debilidad es que soy muy confiado siempre creo que tendre éxito en lo que haré sin importar lo que sea.,9:27,2:0
9,C/D,"Soy muy responsable en mi trabajo, me gusta trabajar lo mejor que se pueda pero soy muy reservada.",18:59,2:3
7,S/I,me gusta trabajar en equipo y que todos coperen,9:20,1:17
2,D/C,"Aunque hay problemas en el trabajo siempre mantengo la calma y busco una forma de resolver el problema, pero me en veces suelo dar por su lado a mis superiores.",6:51,2:27
6,S/D,"Mis fortalezas son que me agrada trabajar en equipo. Ademas, soy respetuoso, amable, alegre y servicial. Sin embargo, mis debilidades son la inseguridad y ser pasalon. ",10:58,2:34
1,D/S,"Mi gran ventaja es que me gusta mucho trabajar en equipo y ser responsable con mis actividades, pero mi debilidad es que soy muy parlanchin y soy poco distraído.",6:1,1:54
3,I/D,"Mi fortaleza. Suelo ser parlanchín con todo el mundo, aunque a veces eso me haga que pierda tiempo y no pueda concentrarme con facilidad, siendo también mi debilidad",6:11,3:3
12,DC/IS,"Siempre trato de hacer que mi trabajo sea el mejor, reviso cada detalle pero esto hace que me tomé tiempo para hacerlo.",10:28,0:58
5,I/C,"Mi mayor fortaleza es que me gano la confianza de los demás, soy muy confiado para enfrentar los retos que se me presenten. Y mi debilidad es que me opongo cuando otros tienen un punto de vista diferente al mío.",10:34,1:21
8,S/C,"Soy muy leal, perceverante en todo sentido de la palabra, me cuesta adaptarme a los cambios",7:42,3:43
9,C/D,"Me adapto facilmente a los cambios que puedan surgir en el trabajo, perfiero evitar conflictos con mi jefe o compañeros.",7:45,3:16
0,D/I,Me gusta mucho ser responsable con mi trabajo y respetar las reglas que se me indiquen. Ser comprometido y respetuoso,6:28,0:43
2,D/C,No tengo problemas en realizar nuevas actividades aunque al principio podrían salirme mal por la falta de experiencia ,5:35,1:48
5,I/C,Me gusta mucho mi responsabilidad en mi trabajo y debilidad es tener muchos amigos y platicar con ellos mucho ,9:30,1:4
6,S/D,"Me gusta mi trabajo, mi debilidad es distraerme mucho y estar platicando",6:19,1:3
6,S/D,"Género mucha confianza y optimismo, siempre me mantengo positivo y encuentro una forma de encontrar una solución óptima, no suelo ser perfeccionista, pero si existe una oportunidad de demostrar eso, hago mi más grande esfuerzo
Cómo debilidad es que me creo mucho lo que dicen de mi o en general y siempre se genera un conflicto por eso
En ciertas ocasiones no soy empatico",7:15,2:49
3,I/D,"Soy una persona con mucha facilidad de palabra, comprensivo. Como desventaja es que suelo tener problemas de concentración en ciertas tareas y eso hace que pierda tiempo",9:13,2:14
8,S/C,"Me gusta ser centrado en mi trabajo, no me gusta desviar mis objetivos. Soy muy rutinario y me acostumbro a un solo ritmo de trabajo..",10:53,1:28
4,I/S,Soy Muy Tolerable Cuando Se Necesita Pero Cuando Algo No Me gusta Y Algo Está Mal Se Los Comento No Me Quedó Callado,6:35,1:29
7,S/I,"Limpio, ordenado, empatico, consiente, carácter débil, impaciente ",7:45,1:53
0,D/I,Me gusta ser exacto preciso y soy muy poco tolerante,5:56,0:50
8,S/C,Trato de hacer las cosas lo mejor que puedo aunque algunas veces lo hago mal por cansancio ,6:59,1:3
5,I/C,"Me gusta mi trabajo, dentro de el área laboral soy muy sociable por conveniencia; para poder tener armonía dentro del área, pero no me gusta mantener esa misma cercania fuera de él... No me gusta que me repitan las cosas así que hago mi trabajo sin que me molesten o tendré varias discusionesm",10:33,2:4
13,IS/DC,"Comprometido , afectivo y  debilidades pereza o falta de satisfacción ",8:56,0:44
0,D/I,"Mi capacidad de análisis, siempre busco encontrar la solución más óptima para cualquier situación.
Alguna debilidad creo seria qué aveces presto mucha atención a la gente negativa",6:59,2:7
12,DC/IS,"Adaptable, desconfiado",7:46,0:11
8,S/C,"Trato de siempre cumplir las metas del trabajo, me gusta ser reconocida, me centro en mis obligaciones y por otra parte siento que deben decirme qué hacer, porque suelo ser dependiente",6:5,2:55
7,S/I,Soy seguro de mi mismo y soy muy confiado,10:32,2:26
12,DC/IS,"Trabajo en equipo, responsable, disciplinado, creativo, meticuloso, constante, confiado, nervioso",11:19,1:38
1,D/S,"Género mucha confianza,y optimismo ",5:13,0:46
2,D/C,"Soy muy perfeccionista y trato de no cometer errores el punto débil es creerle ala gente",18:53,1:9
0,D/I,"Mis fortalezas principales, es el buen manejo del liderazgo, trabajar en equipo, amable, gentil y algunas de mis debilidades principales serian el mal manejo de grupos, la mala coordinacion , el mal manejo de informacion como tal.",3:39,9:14
3,I/D,"Fortaleza. Soy sociable, comprensible
Debilidad. No soy paciente  ",8:35,1:50
1,D/S,Eficiente y debilidades falta de concentración ,5:13,0:57
0,D/I,"Me gusta hacer las cosas bien,en tiempo y forma.
No me gustan los problemas",7:28,1:10
3,I/D,"Fortalzas: soy muy sociable, tiendo a ser muy equilibrada, mi debilidad es que soy desesperada cuando no entiendo algo...",14:35,4:50
1,D/S,Soy muy persuasivo y confío mucho en la gente ,4:42,1:36
10,C/I,Trabajo de equipo y me frustra si no hay cooperación ,10:0,0:53
6,S/D,"Mi fortaleza es ser paciente, respetuosa y amable con los demás.
Mis debilidades el miedo a expresar lo que opino cuando no estoy de acuerdo en algo.",9:53,2:47
2,D/C,"Alguna de mis fortalezas es la responsabilidad en mi trabajo, trato de resolver lo que se presenta sin la necesidad de que me lo tengan que decir.",12:25,2:31
3,I/D,"Mis fortalezas: comprensible en todo momento, humilde y parlanchín. En mis de debilidades soy muy honesto y suelo perder la concentración porque soy juguetón",11:33,4:23
5,I/C,"Una de mis fortalezas es que me adapto fácilmente a mi entorno, que digo las cosas como son sin tanto rodeo.
Una de mis debilidades serían que soy muy poco tolerable & que me enojo fácilmente ",10:13,1:50
9,C/D,Me gusta aprender cosas nuevas y me aburro con lo cotidiano,10:49,0:36
11,C/S,"Nada estoy muy contenta con mi trabajo y muy agusto,con todo y mis compañeros no tengo ningún problema ",9:19,1:9
0,D/I,Sociable amable muy trabajadora . ,2:57,0:43
0,D/I,"Siempre trato de ver en como puedo ayudar a los demás, siendo respetuoso ",8:16,0:56
7,S/I,"Me gusta el trabajo que hago, mi debilidad es no ser muy sociable ",4:59,1:24
13,IS/DC,"Mis fortalezas son Responsabilidad, capacidad y respeto por mis compañeros pero mi debilidad es la impaciencia ",6:37,3:32
0,D/I,"Fortalezas: trabajo en equipo, servicial, amable, mente ágil, disciplinado. Debilidades: impuntual",8:50,1:38
4,I/S,Mi fortaleza es mi carácter y mi facilidad de palabra y habilidades sociales. Mi debilidad es mi poca tolerancia a confrontación por problemas en el área de trabajo ,6:59,1:49
8,S/C,"Mis fortalezas es que soy maduro, perceverante y cumplido en mi trabajo. mis desventajas no me gustan los cambios repentinos y suelo trabajar al ritmo que yo crea mejor para mi",11:35,1:34
10,C/I,"Mi fortaleza más grande es mi responsabilidad, trabajo en equipo y soy muy pacífico. Mis debilidades son que soy algo distraído, soy indiscreto y me gusta mucho platicar por lagos periodos de tiempo.",9:54,1:35
7,S/I,Mis fortalezas es que soy respetuosa me gusta respetar las ideas de los demás y trato de llevarme con todos en el trabajo y mis debelidades es que aveces me cuesta ser sociable con los demás siento que soy muy callada ,11:54,3:36
4,I/S,"Considero que me gusta mi trabajo así que soy responsable, se trabajar en equipo y direccionar a los que tengo a mi cargo, debilidades distraido",7:29,4:7
8,S/C,"Fortalezas: leal, persistente, centrado. Desventajas: rutinario, comodino, impuntual ",5:22,1:56
3,I/D,"Considero que mi fortaleza es que soy extrovertido y mi debilidad es que me cuestra trabajo concentrarme en el trabajo.",10:13,1:36
7,S/I,"Al momento de hacer mi trabajo siempre soy cuidadoso,también soy muy paciente y no me gusta que me regañen.",7:58,1:20
2,D/C,"Mi fortaleza es que soy una persona de carácter muy fuerte, siempre mantengo mi palabra sin importar las circunstancias. Mi debilidad es que me  frustran las reglas y que prefiero trabajar solo.",7:57,2:10
7,S/I,"Mi fortaleza es lo paciente que soy, mi eficiencia y mi debilidad es que no me gustan los trabajos bajo presión.",12:18,1:20
5,I/C,"Fortalezas: soy muy sociable, carismática y suelo persuadir a otros con facilidad. Mi debilidad es que soy algo impaciente y distraída.",6:9,1:58
3,I/D,"La fortaleza más grande que tengo es que soy muy extrovertido, pero a la vez es mi debilidad ya que suelo no concentrarme muy seguido por hablar con los demás.",7:26,0:43
3,I/D,"Fortalezas: Equilibrado, buen compañero y muy sociable. Debilidades: distraído, falta de confianza, hiperactivo",5:12,1:23
8,S/C,"Siempre logro los objetivos que me propongo, soy muy persistente, diciplinado. Mi debilidad son los cambios, no me gusta salir de mi rutina diaria",12:32,1:54
