ID,Tipo,TextUser,Timer,Txtime
1,D/S,"Fortalezas: Soy una persona optimista. Y soy dedicado y apasionado por el trabajo. Al ser un aprendiz rápido, puedo aprender cosas nuevas muy rápido. Debilidades: Soy una persona que piensa demasiado, pienso demasiado en una situación mientras tomo una decisión.",0:0,0:0
0,D/I,"Mi punto fuerte es que puedo trabajar durante 12 horas al día si la fecha límite lo exige. Mi debilidad era que no podía dejar de comer chocolates, pero superé esta debilidad.",0:0,0:0
7,S/I,"En lo que respecta a mis fuerzas, soy trabajador, adaptable, optimista hacia mi objetivo y Pensador Positivo. Solía meditar a diario, me ayuda a pensar en positivo en cualquier situación.",0:0,0:0
7,S/I,"Mi fortaleza es que soy una persona automotivada y honesta. Mi debilidad es mi falta de habilidades para hablar e interactuar con gente nueva poniéndome nerviosa. Definitivamente, superaré esto. Gracias.",0:0,0:0
0,D/I,"Fortalezas: Señor, mis puntos fuertes son que soy un gran trabajador, hablador, fácilmente adaptado a una nueva ubicación, fácilmente mezclado con los demás. Debilidad: Llegando a mi debilidad soy demasiado hablador, y fácilmente creo en las nuevas personas.",0:0,0:0
0,D/I,"Fuerza: Ocupado con el trabajo programado, como dar apoyo a los niños en la educación, en el momento oportuno tomando clases clásicas, entrenamientos. Debilidad: Como soy adicto al trabajo, siento que estoy solo.",0:0,0:0
0,D/I,Fortalezas: Aprende rápido y capta para hacer las cosas de manera más eficiente y efectiva. Debilidad: Yo también tengo una debilidad que me da vergüenza hablar frente a extraños y lleva tiempo complacerlos.,0:0,0:0
4,I/S,"¡Señor!, soy un pensador positivo, automotivado y un aprendiz rápido. Soy una persona de actitud positiva. Y, mi debilidad es que alguien está hablando demasiado de mí esa vez que soy una persona muy enojada.",0:0,0:0
5,I/C,"Mis fortalezas y debilidades: * Mi fortaleza es la automotivación, la confianza en mí mismo, el pensamiento positivo, el buen círculo de amigos, el buen sentido del tiempo y la cara sonriente para atraer a la gente.* Mi debilidad es confiar rápidamente en personas desconocidas, sensibles, enojarse fácilmente y también depresivos.",0:0,0:0
0,D/I,"Mi fuerza es el trabajo duro, la paciencia, la honestidad, la capacidad de enfrentar los problemas, si alguien pide ayuda, haré todo lo posible para ayudar, habilidades. Mi debilidad es que soy sensible y silencioso, soy perezoso, creyendo a la gente fácilmente, confío muy rápidamente, Emoción.",0:0,0:0
7,S/I,"Mi fortaleza: Avanza con nuevas y grandes ideas, hacia mi meta. Y aprender de los demás, y siempre esforzarme por mi mejor mañana. Debilidad:. Me duele cuando alguien está cerca de mí y quiere acostarme.",0:0,0:0
6,S/D,Mi fuerza es aprender cosas nuevas. Y soy honesto. No tengo confianza en mí mismo. No puedo trabajar bajo presión. Soy perezoso pero estoy tratando de hacer lo mejor.,0:0,0:0
10,C/I,"Mi fortaleza es que, nunca me rindo y soy pensador positivo. Y mi debilidad es que cuando tengo un trabajo y no lo completo. En Hasta que mi trabajo no es nunca me siento relajado. Es mi debilidad.",0:0,0:0
0,D/I,Mi fuerza es que trabajo hasta que me da satisfacción y mi debilidad es que no confío en la gente fácilmente hasta que hago una verificación cruzada.,0:0,0:0
4,I/S,Mi fortaleza es mi confianza en mí mismo y mi actitud positiva y mi debilidad es que soy una persona trabajadora.,0:0,0:0
7,S/I,Mi fortaleza es que soy puntual y una persona trabajadora. Mi debilidad es que confío en la persona muy fácilmente.,0:0,0:0
7,S/I,"Fortalezas :I Soy pensador positivo. Soy jugador de equipo. Tengo buenas habilidades de comunicación que me ayudan a interactuar, cualquiera. Debilidad:I No puedo decir que no a nadie cuando piden cualquier tipo de ayuda. Confío en la gente con demasiada facilidad. Soy rápido tomador de decisiones.",0:0,0:0
11,C/S,"Fuerza: Trabajador, sincero, puntual, amable, optimista y honesto. Debilidad: No me siento cómodo hasta que termine mi tarea.",0:0,0:0
4,I/S,¡Mi fuerza es ayudar a otra persona! ¡Y mi debilidad creo que otros fácilmente!,0:0,0:0
0,D/I,Soy bueno en investigación y desarrollo y esta es mi mayor fortaleza en mi profesión. La debilidad es que confío fácilmente en todos.,0:0,0:0
1,D/S,"Mi fortaleza es que soy una persona adaptativa, de pensamiento positivo de aprendizaje rápido. Mi debilidad es que a veces me pongo nervioso mientras hablo con personas nuevas.",0:0,0:0
4,I/S,"Mi fuerza es mi madre, porque de ella tengo todas las buenas cualidades que me diferencian de los demás. Soy honesto, automotivado, dedicado a mi trabajo. Mi debilidad es que pienso demasiado y siempre me pongo ansioso y consciente cuando veo a las personas a mi alrededor, pero estoy tratando de superar mis debilidades participando en varios eventos / festivales y haciendo más y más amigos.",0:0,0:0
10,C/I,"Mi fortaleza es que me tomo el trabajo muy en serio Y soy bueno comunicador .Mis debilidades, confié en la gente fácilmente Quiero hacer felices a todos.",0:0,0:0
9,C/D,"Mi fortaleza es que soy un aprendiz rápido automotivado, puedo adaptarme al entorno donde voy y vivo allá. Mi debilidad, no puedo decir que no si alguien me dice que me pida ayuda. Puedo confiar fácilmente.",0:0,0:0
4,I/S,"Me gusta ser perfecionista en el trabajo que hago, mi debilidad es no ser muy sociable.",0:0,0:0
8,S/C,"Fortalezas: Señor, una de mis fortalezas clave es que tomo decisiones racionales y equilibradas. Y estoy automotivado. Y siempre muestro mi entusiasmo por aprender cosas y tecnologías nuevas. Debilidades: Señor, a veces soy demasiado autocrítico. Critico / Juzgo mis propias malas acciones y acciones. Y creo que sin juzgarte a ti mismo no puede haber ninguna mejora. Y no puedo decir que no si alguien viene a mí y me pide ayuda, lo que a veces eventualmente me meteré en problemas. !",0:0,0:0
7,S/I,"Señor, en realidad, tengo fortalezas y debilidades comunes que son la creencia y la positividad positiva.",0:0,0:0
1,D/S,"Mi fuerza es, mis habilidades, habilidades y experiencias, poseyendo capacidad analítica y de resolución de problemas. La debilidad es impatente sobre el límite de tiempo, ahora tratando de poner prioridades en la lista de tareas.",0:0,0:0
8,S/C,"Mi fuerza es trabajadora, confianza en mí misma, de rápido aprendizaje, siempre trato de aprender personal y profesionalmente. Debilidad: Me desconcierta hacer más de una tarea a la vez, creyendo cada una fácilmente. Sé que no siempre es correcto en todos los casos, así que hago todo lo posible para mejorarlo.",0:0,0:0
