ID,Tipo,TextUser,Timer,Txtime
4,I/S,"Tener una actitud enfocada involucrarse con el trabajo, tener una actitud positiva hacia la vida y pensar que el fracaso es un trampolín hacia el éxito. La debilidad por pensar no puede decir que no a nadie y socializar con todos.",0:0,0:0
1,D/S,Puedo mezclarme fácilmente con otras personas. Puedo conectarme fácilmente con otros que son mis puntos fuertes. Mi letra es muy mala y ayudo a todos sin saberlos que son mis debilidades.,0:0,0:0
1,D/S,Mi fuerza es trabajadora. Mi debilidad es que a veces me impaciento.,0:0,0:0
9,C/D,Mis debilidades son 1. No me mezclo con nadie tan fácilmente.2. No puedo hacer trabajos que no sean de aprendizaje.3. Ayudo a otros fácilmente y espero a cambio siempre. Mi fuerza es1. Aprendo rápido.2. Cualquiera puede confiar en mí. 3. Determinación hacia mi carrera.4. Siempre trabajo duro para completar mi trabajo a tiempo.5. Siempre tratando de sobresalir mis conocimientos.6. Soy un buen observador.7. Nunca tengas miedo de cualquier tipo de situación siempre enfréntalo.8. Apoyar económicamente a la familia.9. Quiere ser independiente de sí mismo.,0:0,0:0
6,S/D,"Me gusta tomar desafíos y lograrlos. Ese es mi punto fuerte. El segundo, mi punto fuerte es que soy una persona extroworth. La preocupación por mi debilidad Soy poco exigente para cualquier cosa. Y puedo confiar fácilmente en cualquier persona.",0:0,0:0
7,S/I,"Fuerza: Mi fortaleza es que pienso lógicamente, lo cual es bueno para mí y mi organización. Debilidad: Mi debilidad es que a veces me emociono.",0:0,0:0
9,C/D,"¡Mam! No creo que sea mucho mejor en una cosa en particular. Definitivamente, también aprenderé algo. Pero así que creo que soy bastante bueno memorizando escuchando. Porque en la clase xi he memorizado toda la historia del Mahabharat escuchando una vez. Creo que esta es mi fortaleza. Y mi debilidad es que tomo mucho estrés para cualquier tipo de trabajo y no puedo liberar mi estrés hasta que cumpla con mi trabajo en su fecha límite.",0:0,0:0
7,S/I,Mi fuerza es mi familia. Siempre me apoyan y corrigen mis errores también. Mi debilidad es comer chocolates.,0:0,0:0
9,C/D,"Fuerza: Siempre he sido un gran jugador de equipo. Soy bueno para mantener un equipo unido y producir trabajo de calidad en un ambiente de equipo. Debilidad: Soy demasiado detallista. Nunca quiero dejar nada fuera y quiero que todo sea perfecto, esto es malo porque ralentiza mi trabajo.",0:0,0:0
1,D/S,"Fuerza: Soy honesta, siempre busco desarrollar mi experiencia profesional, amo el rigor y la disciplina en el trabajo, exenta de todos los compromisos que no tengo nada que me obstaculice en tiempos de trabajo. Debilidad: No soporto observar a los trabajadores, siempre me ofrezco a ayudarlos.",0:0,0:0
9,C/D,"Cuando hago algo no termino hasta que el trabajo se hace correctamente, esta es mi fortaleza. Y, no puedo apoyar la desvergüenza y el respeto. Creo que estas son mis debilidades.",0:0,0:0
1,D/S,"FortalezasGestión del tiempo, Capacidad para trabajar bajo presión, siempre estoy tratando de mostrar lo mejor de mí. Y mi actitud. Debilidad:* Confiar fácilmente en la gente* Si alguien me pide ayuda, no puedo decir que no.",0:0,0:0
1,D/S,Buenas habilidades de comunicaciónInteractúo con nuevas personas. Cualquier riesgo toma lo positivo. Weekness: No hay ninguna semana mi yo.,0:0,0:0
9,C/D,"Fuerza:- Siempre dispuesto a ayudar a los demás.- Puntual.- Si tomo algún trabajo, definitivamente lo terminaré. Debilidad: - Creo mucho en los demás.- lloro cuando alguien me lastima.",0:0,0:0
9,C/D,"Mis puntos fuertes:. Soy muy trabajador. Tengo buena calidad de liderazgo. Soy una persona optimista. Prospero bajo presión. Tengo buenas habilidades de comunicación y también un buen conocimiento técnico de mi campo. Tengo buenas habilidades de gestión desde que fui subgerente en la empresa anterior. Era responsable de manejar todas las operaciones de la empresa. Tengo buenos conocimientos para manejar a los pueblos. Se trata de mi fuerza. Mi debilidad: Confío en la gente fácilmente. De esta manera, soy traicionado por otros. Y tampoco digo que no a los demás cuando otros piden ayuda. Y en esto, algunos obtienen beneficios de mi honestidad. Estoy trabajando para eliminar mi debilidad. Eso es todo gracias.",0:0,0:0
9,C/D,"Cualidades personales: Todo el tiempo, me describí como perfeccionista, apasionado, de mentalidad técnica, orientado a objetivos y aprecio los rasgos de ser ético. Otra cualidad que poseo es la autoconciencia. Soy consciente del grado de comprensión y conocimiento de quién soy, incluyendo mis habilidades, valores, intereses, comportamientos y carácter. Tengo una firme confianza en mí mismo y soy considerado como un tomador de riesgos entre mis amigos. Valoro la curiosidad y el entusiasmo, ya que son cruciales para terminar un mega proyecto. Por encima de todo, estoy orgulloso de mí mismo por ser una persona temerosa de Dios, es por eso que tengo un principio estricto en mi vida que es no engañar, herir y actuar injustamente hacia los demás de ninguna manera. Fortalezas: A partir de mi experiencia pasada tratando con asuntos, me doy cuenta de que soy una persona altamente adaptable y aprendo rápidamente del entorno. Me encantaría decir que mi verdadera fuerza es mi madre. Me motivo cuando pienso en ella, ya que es mi fuente de felicidad y me da la sensación de estar en casa. Además, en términos de ejecutar una tarea, prefiero trabajar inteligentemente en lugar de trabajar duro, por lo tanto, pensaré en un sistema que no requiera que repita el trabajo tedioso innecesariamente para realizar la tarea. Además, mi otra fortaleza es mi afán y voluntad de progresar en la vida, busco continuamente conocimientos en diversos campos que van desde la ciencia, la tecnología, la filosofía, las artes, la historia, el urbanismo, la medicina, las últimas investigaciones y la religión. Para ser concluyente, respeto mucho el conocimiento. Debilidades: Cuando se trata de expresar opiniones, puedo ser bastante honesto a veces hasta el punto de que otros se sienten un poco incómodos al respecto. Sin embargo, estoy haciendo todo lo posible para suavizarlo socializando más a menudo y tratando de aprender más sobre cómo parecer amable con los demás sin dejar de ser yo mismo. Mi otro lado de la debilidad es que no construyo mucho la red, por lo tanto, me deja teniendo solo unos pocos amigos. El lado positivo de esto es que solo quedan amigos de calidad, ya que siento que dreno mucha energía si paso demasiado tiempo con otros haciendo cualquier actividad miscelánea. Eso demuestra la parte a veces introvertida de mí. Por último, pero no menos importante, no me gusta parecer estúpido / incompetente entre mis colegas. Eso, sin embargo, representa mis inseguridades para los demás, así que hago todo lo posible para investigar un poco (Internet proporciona una gran cantidad de información sobre casi todo) con respecto a la tarea que me dieron antes de ejecutarla.",0:0,0:0
6,S/D,Mi fuerza es que soy muy trabajador por naturaleza. Mi debilidad no tengo debilidades.,0:0,0:0
11,C/S,Mis fortalezas:1- pensamiento positivo.2- Soy buen jugador de equipo.3- Soy automotivado.4- Mi comunicación es buena. Mis debilidades:1- No me siento cómodo hasta completar mi trabajo.2- Creo fácilmente en otros.3- Confío en todos.4- Soy una persona habladora.5- No puedo compartir mi debilidad.,0:0,0:0
9,C/D,"Tengo muchas fortalezas, pero mi principal fortaleza es unir a las personas o podemos decir que estoy trabajando o irme con tipos de personas de comportamiento. Me uno a grupos muy fácilmente y manejo situaciones muy fácilmente puedo conectar a los empleados.",0:0,0:0
4,I/S,Mi fortaleza es que soy una persona muy optimista. Creo en el trabajo en equipo. Actitud positiva hacia mi trabajo. Mi debilidad es que no puedo decirle a la gente. Soy una persona muy emocional.,0:0,0:0
9,C/D,Mi fortaleza es que siempre soy positivo con todo lo que hago. Siempre hago mi trabajo al mejor nivel de mi capacidad. Esforzarme por alcanzar el objetivo en todo momento y tomar la iniciativa en ausencia de mi superior.,0:0,0:0
9,C/D,"Mis fortalezas son automotivadoras y Hardworking.My debilidad se va a la depresión cuando falla en la tarea en la que participé (¿Si te preguntan cómo superas tu debilidad?). Como mi Fuerza es automotivadora, me doy respaldo a mí mismo como si sí. Venky puedes hacerlo. Y trabajar duro para lograr el éxito en ella sin salir como optimista.",0:0,0:0
5,I/C,Mi fuerza es mi familia y mis sueños que siempre me agradecen para trabajar duro y mi única debilidad es si alguien llora delante de mí. Mi naturaleza de ayuda excesiva y mi confianza fácil en los demás es una de las mayores debilidades.,0:0,0:0
6,S/D,"Mi fuerza es el pensamiento positivo, la paciencia y puedo adaptarme fácilmente a otros entornos. Además, mis debilidades son que me emociono rápidamente y también soy hablador.",0:0,0:0
6,S/D,"Mis puntos fuertes son, tengo confianza, auto-motivación y dedicación a mis objetivos profesionales y personales. Si hablo de mis debilidades, puedo confiar en las personas rápidamente y soy poco sensible y hay algunas áreas débiles como las habilidades de comunicación fluidas que necesito mejorarlas para transformar mis debilidades en fortaleza.",0:0,0:0
11,C/S,"Mis fortalezas son mi familia también soy una persona muy trabajadora, la razón detrás es que termino cada trabajo antes de la fecha Mi debilidad es que, como soy una persona trabajadora, no tengo tiempo para estar con mis amigos.",0:0,0:0
9,C/D,"Hola, creo que mis puntos fuertes son que puedo enorgullecerme de mi trabajo. Puedo terminar las tareas con confianza con lo mejor de mis habilidades para proporcionar el mejor resultado posible. Podrías llamarme un castor ansioso cuando se trata de aprender nuevas habilidades. El optimismo también es mi punto fuerte y, junto con mi humor, puedo ayudar a otros a mirar el lado positivo. Mi debilidad es que puedo tener dificultades para trabajar bajo presión, pero estoy buscando formas de superar este obstáculo. Gracias.",0:0,0:0
8,S/C,"Fortalezas:* Mis fortalezas son mis padres. Trabajan muy duro para mí, así que también quiero hacer algo por ellos.* Buen oyente y honesto. Debilidades:* De mal genio.* Naturaleza tímida.",0:0,0:0
8,S/C,"Mi fuerza son mis padres que trabajan muy duro para mí. Así que quiero hacer lo mismo por ellos. Y sobre la debilidad, todas las personas tienen debilidad, incluso yo la tengo, pero todavía no la encontré.",0:0,0:0
9,C/D,"FORTALEZAS-Soy honesto, amigable y confiable. Soy como una goma me moldeas en cualquier condición lo llevo fácilmente porque es de mi propiedad.presión pesada = alta eficiencia tengo buena adaptabilidad.gestión con tiempo y coordinación con socios excelente. DEBILIDADES: Soy menos talkative.my imaginación demasiado alta, y trato de controlar it.my escritura a mano poco mala. Habla mal de inglés trabajo en ello.",0:0,0:0
5,I/C,"Mi fuerza son suficientes cosas para decir que ser una persona adaptativa, optimista y autodidacta, y tengo una actitud positiva. -> Sigue los códigos para que la vida tenga éxito. -> Hungría, ajetreado, humilde. Mi debilidad es una persona muy pensante, y confío en la gente muy fácilmente, e hice un proyecto presentado en la fecha límite para estar satisfecho de enmarcar algunas cosas adicionales para utilizar un crecimiento potencial y crecer las organizaciones.",0:0,0:0
6,S/D,"Mi fuerza es que siempre hago mi trabajo con 100% de dedicación, concentración y con mucho interés ya sea un trabajo pequeño o un trabajo grande. Mi debilidad es que soy un pensador excesivo y una persona emocional.",0:0,0:0
11,C/S,"Mi fortaleza es que soy una persona dedicada, motivada, trabajadora y siempre persiguiendo nuevas habilidades. Mi debilidad es que me siento incómodo hasta que termino mi trabajo.",0:0,0:0
